,comm_1
0,73102744
1,178105343
2,2644056245
3,4196856351
4,146536143
5,1873762824
6,110184114
7,306513842
8,1458246122
9,1178090455927525383
10,67175765
11,402176767
12,4618715801
13,4340256801
14,1290011392016351233
15,727296065926496265
16,850481701000237056
17,4758703641
18,1352733531630432256
19,585205927
20,1083825689848135680
21,2612402816
22,107442800
23,2152001791
24,791699809279287296
25,312183888
26,2780654617
27,220457693
28,1702761704
29,434981389
30,207217115
31,158007051
32,1038538969389182976
33,3231977118
34,186881299
35,2434585328
36,2662139235
37,500269004
38,2838925913
39,450679943
40,1183456464691707904
41,1091857643298275328
42,1110278617735589889
43,712039945695862790
44,3305130695
45,826799015828275202
46,574739820
47,1959396680
48,719331994665099264
49,219979521
50,955257133
51,3399185962
52,2536115590
53,995474438031400960
54,364517397
55,1226291886517866496
56,1062720837759815682
57,4251243893
58,152770378
59,109567765
60,624282243
61,225285449
62,381507284
63,1065304987624980481
64,836922686852956161
65,1945618860
66,1190318573861904385
67,143773881
68,815315055478788096
69,4775222727
70,198052013
71,2768856442
72,1155991028249313280
73,157589057
74,4496914043
75,2989815711
76,200540760
77,845028124404436992
78,366851605
79,2384479764
80,2224596615
81,940667750162292736
82,110325813
83,932588769370427393
84,2554662039
85,716373545929064448
86,1285717706545782785
87,870845893150474242
88,593228938
89,842164257110278145
90,193154088
91,279127170
92,3421061763
93,3121939925
94,146884525
95,159916597
96,288002651
97,1303716133804142595
98,935899801715138560
99,440967655
100,1206947878612217857
101,603864949
102,745019695074533376
103,910959980341350402
104,149402136
105,919677972398960645
106,373589831
107,1244608041649086464
108,167573633
109,2891423547
110,945473203111067648
111,4352026996
112,1327294614404014086
113,1279280934219546624
114,730033544999866368
115,1163957624368521217
116,138515245
117,346308350
118,851959851991392256
119,715391920441196545
120,4405043657
121,903044413
122,179305723
123,2691725734
124,2533109552
125,942188943369490438
126,892536648264798208
127,920025221037527041
128,2266607077
129,1075809287987957760
130,968210394
131,2285364900
132,1689198648
133,726631311771852804
134,889630770779877377
135,1214369257141817346
136,403141294
137,1217056119077703680
138,210093732
139,840943277885030400
140,143281052
141,3296441443
142,350446276
143,831560484310626304
144,770130524
145,724762789743566848
146,757790751279357956
147,3462238936
148,924692650372075521
149,973989516649345024
150,329943339
151,2308816924
152,1024664072
153,837463774705614848
154,28944606
155,85651772
156,958409198
157,268382888
158,80168901
159,1160973218502586368
160,408514983
161,252572395
162,187621580
