Fecha,Site,flow,Device,Loading,Shipping,Payments,Review,Congrats,missing,day_of_week,month,year,Shipping_ratio,Payments_ratio,Review_ratio,Congrats_ratio,TOTAL,input_on_Shipping,missing_on_Shipping,input_on_Payments,missing_on_Payments,input_on_Review,missing_on_Review,input_on_Congrats,missing_on_Congrats,anomaly
2019-03-03 00:00:00+00:00,MLA,direct,iOS,18784,17220,13968,9617,8865,False,6,3,2019,0.917,0.8109999999999999,0.6890000000000001,0.922,0.515,False,False,False,False,False,False,False,False,True
2019-03-03 00:00:00+00:00,MLC,direct,Desktop,9365,9257,7940,6518,6138,False,6,3,2019,0.988,0.858,0.821,0.9420000000000001,0.6629999999999999,False,False,False,False,False,False,False,False,False
2019-03-03 00:00:00+00:00,MLC,direct,Mobile,15257,15183,11353,8610,7495,False,6,3,2019,0.995,0.748,0.758,0.87,0.494,False,False,False,False,False,False,False,False,False
2019-03-03 00:00:00+00:00,MLU,direct,Desktop,579,569,472,373,361,False,6,3,2019,0.983,0.83,0.79,0.968,0.634,False,False,False,False,False,False,False,False,False
2019-03-03 00:00:00+00:00,MLU,direct,Mobile,1203,1178,938,690,646,False,6,3,2019,0.9790000000000001,0.7959999999999999,0.736,0.9359999999999999,0.5479999999999999,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLA,cart,Android,0,6384,4656,3234,3009,False,0,3,2019,0.0,0.7290000000000001,0.695,0.93,0.47100000000000003,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLA,cart,Desktop,0,3169,2494,2077,2012,False,0,3,2019,0.0,0.787,0.833,0.9690000000000001,0.635,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLA,cart,Mobile,0,2242,1747,1206,1135,False,0,3,2019,0.0,0.779,0.69,0.941,0.506,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLA,cart,iOS,0,1110,835,621,568,False,0,3,2019,0.0,0.752,0.7440000000000001,0.915,0.512,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLA,direct,Android,142338,133952,105604,67622,62339,False,0,3,2019,0.941,0.7879999999999999,0.64,0.922,0.465,False,False,False,False,False,False,False,False,False
